# BornAgain Intensity Data
# Simple array suitable for numpy, matlab etc.
# coordinates         intensities
1.829737560245e-03    7.324495996455e+06
5.489212675719e-03    1.030711784202e+07
9.148687776144e-03    1.375688100236e+07
1.280816285149e-02    1.756551501681e+07
1.646763789172e-02    2.161003802946e+07
2.012711288680e-02    2.577645224722e+07
2.378658782670e-02    2.995666020072e+07
2.744606270139e-02    3.406142887430e+07
3.110553750084e-02    3.800753806055e+07
3.476501221500e-02    4.178256817749e+07
3.842448683386e-02    4.538094336010e+07
4.208396134737e-02    4.879556401636e+07
4.574343574551e-02    5.201525143345e+07
4.940291001824e-02    5.497761284013e+07
5.306238415553e-02    5.761506522646e+07
5.672185814735e-02    5.986030603303e+07
6.038133198366e-02    6.163340441061e+07
6.404080565443e-02    6.285265299367e+07
6.770027914963e-02    6.343433423438e+07
7.135975245922e-02    6.331540568862e+07
7.501922557318e-02    6.247421743496e+07
7.867869848147e-02    6.083706918370e+07
8.233817117406e-02    5.838297152898e+07
8.599764364091e-02    5.516817951113e+07
8.965711587200e-02    5.125876172562e+07
9.331658785728e-02    4.675828526026e+07
9.697605958673e-02    4.181649689499e+07
1.006355310503e-01    3.666065398605e+07
1.042950022380e-01    3.151749905183e+07
1.079544731398e-01    2.661328759976e+07
1.116139437456e-01    2.213987372222e+07
1.152734140454e-01    1.822422023868e+07
1.189328840291e-01    1.491569032237e+07
1.225923536868e-01    1.219538513831e+07
1.262518230085e-01    1.000627175584e+07
1.299112919839e-01    8.294847547454e+06
1.335707606033e-01    6.920795359466e+06
1.372302288564e-01    5.769030510932e+06
1.408896967333e-01    4.789996079127e+06
1.408896967333e-01    4.789996079127e+06
1.445491642240e-01    3.953999041033e+06
1.482086313183e-01    3.240040107195e+06
1.518680980064e-01    2.631881062269e+06
1.555275642781e-01    2.116251705925e+06
1.591870301234e-01    1.681906753029e+06
1.628464955323e-01    1.319082141336e+06
1.665059604947e-01    1.019160244072e+06
1.701654250006e-01    7.744526418510e+05
1.738248890401e-01    5.780525857376e+05
1.774843526029e-01    4.237303831726e+05
1.811438156792e-01    3.058559901645e+05
1.848032782589e-01    2.193392427874e+05
1.884627403319e-01    1.595817474065e+05
1.921222018883e-01    1.224366196906e+05
1.957816629179e-01    1.041736180637e+05
1.994411234108e-01    1.014480792083e+05
2.031005833569e-01    1.112726230788e+05
2.067600427462e-01    1.309909598135e+05
2.104195015686e-01    1.582533706225e+05
2.140789598142e-01    1.909935915149e+05
2.177384174728e-01    2.274069299438e+05
2.213978745346e-01    2.659295090885e+05
2.250573309893e-01    3.052185739931e+05
2.287167868270e-01    3.441338171904e+05
2.323762420377e-01    3.817196938609e+05
2.360356966114e-01    4.171887024048e+05
2.396951505379e-01    4.499056076774e+05
2.433546038073e-01    4.793725834792e+05
2.470140564095e-01    5.052152487707e+05
2.506735083345e-01    5.271695698888e+05
2.543329595723e-01    5.450695987532e+05
2.579924101128e-01    5.588360152883e+05
2.616518599460e-01    5.684654410884e+05
2.653113090618e-01    5.740204906713e+05
2.689707574503e-01    5.756205266677e+05
2.726302051014e-01    5.734330856912e+05
2.762896520051e-01    5.676659426082e+05
2.799490981513e-01    5.585597821139e+05
2.836085435300e-01    5.463814480662e+05
2.872679881312e-01    5.314177426577e+05
2.909274319448e-01    5.139697492725e+05
2.945868749609e-01    4.943476545903e+05
2.982463171693e-01    4.728660471964e+05
3.019057585600e-01    4.498396715089e+05
3.055651991231e-01    4.255796172485e+05
3.092246388484e-01    4.003899259127e+05
3.128840777260e-01    3.745645966838e+05
3.165435157457e-01    3.483849750581e+05
3.202029528977e-01    3.221175080108e+05
3.238623891718e-01    2.960118499080e+05
3.275218245580e-01    2.702993035394e+05
3.311812590463e-01    2.451915806030e+05
3.348406926267e-01    2.208798658431e+05
3.385001252890e-01    1.975341687191e+05
3.421595570234e-01    1.753029460978e+05
3.458189878197e-01    1.543129789928e+05
3.494784176679e-01    1.346694858819e+05
3.531378465580e-01    1.164564546205e+05
3.567972744799e-01    9.973717454829e+04
3.604567014237e-01    8.455494988276e+04
3.641161273792e-01    7.093397526792e+04
3.677755523366e-01    5.888035401644e+04
3.714349762856e-01    4.838323955312e+04
3.750943992163e-01    3.941608055599e+04
3.787538211187e-01    3.193795045936e+04
3.824132419827e-01    2.589494234185e+04
3.860726617983e-01    2.122161064659e+04
3.897320805555e-01    1.784244184496e+04
3.933914982441e-01    1.567333689138e+04
3.970509148543e-01    1.462308922622e+04
4.007103303760e-01    1.459484308517e+04
4.043697447990e-01    1.548751800534e+04
4.080291581135e-01    1.719718661327e+04
4.116885703093e-01    1.961839406568e+04
4.153479813765e-01    2.264540883570e+04
4.190073913050e-01    2.617339590720e+04
4.226668000847e-01    3.009950481127e+04
4.263262077057e-01    3.432386632286e+04
4.299856141578e-01    3.875049298702e+04
4.336450194312e-01    4.328807997437e+04
